epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.50986,2.06373,4.51208,2.11207,0.00121,0.41667,0.0016,0.00053,2.0244,4.20599,2.53216,7.5e-05,7.5e-05,7.5e-05
2,6.76382,1.71144,3.99872,1.79791,0.00272,0.625,0.27245,0.20257,1.70048,4.04257,2.13682,0.000159282,0.000159282,0.000159282
3,8.94516,1.23314,3.22241,1.40982,0.00593,0.83333,0.42095,0.23837,1.1762,3.71051,1.40803,0.0002401,0.0002401,0.0002401
4,10.9652,1.18883,2.53272,1.32432,0.00865,0.58333,0.44009,0.34365,1.26222,3.74878,1.56063,0.000317452,0.000317452,0.000317452
5,13.0623,1.17052,2.32057,1.39844,0.00953,0.70833,0.50055,0.30114,1.35352,3.62868,1.59068,0.00039134,0.00039134,0.00039134
6,14.9997,1.08591,1.89662,1.34506,0.00737,0.83333,0.49969,0.28055,1.23742,3.342,1.5671,0.000461763,0.000461763,0.000461763
7,16.9626,1.16157,2.09645,1.38219,0.00369,0.75,0.71325,0.40587,1.25859,3.48055,1.59769,0.00052872,0.00052872,0.00052872
8,18.8472,1.10715,1.97207,1.34616,0.00369,0.83333,0.74926,0.48785,0.99027,3.18492,1.29877,0.000592213,0.000592213,0.000592213
9,20.8936,1.02987,1.81842,1.26292,0.93936,0.49786,0.65318,0.4033,1.22731,3.00522,1.47051,0.00065224,0.00065224,0.00065224
10,22.7769,0.99897,1.75979,1.25335,1,0.23754,0.75863,0.42221,1.33081,2.94664,1.56708,0.000708803,0.000708803,0.000708803
11,24.66,0.95164,1.69174,1.20691,0.79427,0.41667,0.92036,0.6947,1.07523,2.74913,1.33064,0.0007619,0.0007619,0.0007619
12,26.5369,0.93524,1.67438,1.21194,0.79669,0.63459,0.97437,0.66455,1.24413,2.49506,1.54464,0.000811533,0.000811533,0.000811533
13,28.4049,0.94717,1.73435,1.20765,0.83626,0.64626,0.97437,0.67968,1.17928,2.46638,1.51306,0.0008577,0.0008577,0.0008577
14,30.2812,0.85418,1.61828,1.17328,0.97614,0.49054,0.995,0.60568,1.43175,2.55774,1.90757,0.000900402,0.000900402,0.000900402
15,32.1674,0.868,1.54849,1.20542,0.65999,0.63174,0.92429,0.56025,1.67049,2.69077,2.35462,0.0009035,0.0009035,0.0009035
16,34.1365,0.86024,1.43296,1.12919,0.71488,0.86059,0.91267,0.57265,1.55714,2.00343,2.21665,0.00087875,0.00087875,0.00087875
17,35.9618,0.89793,1.3583,1.12076,0.81842,0.91589,0.88517,0.56172,1.49935,1.77208,2.10137,0.000854,0.000854,0.000854
18,37.787,0.87009,1.36251,1.1281,0.76061,0.88454,0.9125,0.55374,1.48021,1.58954,1.96802,0.00082925,0.00082925,0.00082925
19,39.5894,0.97435,1.42607,1.20885,0.72694,0.91667,0.95375,0.58914,1.39382,1.62043,1.77042,0.0008045,0.0008045,0.0008045
20,41.4305,0.85235,1.34378,1.1381,0.87019,1,0.97437,0.57984,1.44922,1.58395,1.81033,0.00077975,0.00077975,0.00077975
21,43.2187,0.83874,1.29927,1.13233,0.81001,0.93449,0.962,0.59124,1.40192,1.57384,1.71609,0.000755,0.000755,0.000755
22,45.0419,0.84722,1.30334,1.11174,0.88841,0.99998,0.97437,0.69856,1.21604,1.31682,1.63573,0.00073025,0.00073025,0.00073025
23,46.8358,0.76658,1.22772,1.05663,0.90727,1,0.995,0.7237,1.16557,1.18301,1.57754,0.0007055,0.0007055,0.0007055
